area,ano,acertos,nota_min,nota_max,nota_media
CH,2017,8,336.9,508.5,419.37
CH,2017,9,338.2,523.6,433.92
CH,2017,10,340.7,536.4,449.13
CH,2017,11,342.6,553.8,465.5
CH,2017,12,348.0,568.3,482.42
CH,2017,13,357.2,574.8,499.04
CH,2017,14,364.5,600.6,515.1
CH,2017,15,379.7,594.5,530.01
CH,2017,16,394.2,601.9,543.43
CH,2017,17,412.3,609.7,555.32
CH,2017,18,443.7,616.6,565.99
CH,2017,19,473.0,627.8,575.65
CH,2017,20,498.6,631.7,584.6
CH,2017,21,517.0,637.3,592.85
CH,2017,22,530.1,644.6,600.85
CH,2017,23,540.1,652.2,608.6
CH,2017,24,553.2,662.1,616.25
CH,2017,25,555.0,665.8,623.8
CH,2017,26,573.9,678.3,631.49
CH,2017,27,580.5,683.0,639.27
CH,2017,28,591.8,690.4,647.22
CH,2017,29,596.1,699.4,655.3
CH,2017,30,609.3,710.6,663.6
CH,2017,31,606.1,716.9,672.43
CH,2017,32,624.7,726.0,681.33
CH,2017,33,634.4,736.3,690.9
CH,2017,34,642.4,752.9,700.89
CH,2017,35,656.2,763.8,711.48
CH,2017,36,661.8,776.1,722.89
CH,2017,37,660.9,788.6,734.92
CH,2017,38,688.5,800.6,748.25
CH,2017,39,696.5,808.8,761.81
CH,2017,40,714.1,827.0,776.04
CH,2017,41,725.6,845.2,790.35
CH,2017,42,762.4,848.0,809.63
CH,2017,43,800.5,868.3,830.58
CH,2017,44,834.3,868.3,849.1
CN,2017,0,375.1,375.1,375.1
CN,2017,1,375.1,429.4,383.34
CN,2017,2,375.1,465.7,389.91
CN,2017,3,375.2,481.9,398.5
CN,2017,4,375.3,503.9,407.22
CN,2017,5,375.4,517.2,416.48
CN,2017,6,375.5,531.3,426.8
CN,2017,7,376.1,548.1,437.67
CN,2017,8,376.1,572.3,450.01
CN,2017,9,376.6,733.2,463.51
CN,2017,10,377.1,591.9,478.37
CN,2017,11,378.2,602.3,494.36
CN,2017,12,381.5,612.9,511.09
CN,2017,13,384.7,622.4,528.46
CN,2017,14,384.8,624.9,545.95
CN,2017,15,393.8,634.3,562.46
