area,area_label,area_full,co_prova,cor,pos_area,co_posicao,co_item,habilidade,tp_lingua,lingua_label,anulado,motivo_anulacao,gab,pct_acerto,A,B,C,p_modelo_theta0,dif_xtri,total,categoria,categoria_ordem,discriminacao
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,31,31,44047,H26,,,False,,B,86.96,2.89699,-0.59642,0.02425,0.950880496968705,7.756767697034175,3368961.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,32,32,118196,H9,,,False,,A,70.49,2.40377,-0.0414,0.08365,0.5804892388067262,37.5966994775628,3368961.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,33,33,150505,H16,,,False,,B,49.94,1.2319,0.54082,0.1049,0.3230191572983402,61.524754775607896,3368961.0,Médio,1,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,34,34,150761,H17,,,False,,A,33.09,2.23464,1.07057,0.13133,0.14595896858616492,78.93116704189929,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,35,35,158757,H12,,,False,,B,62.76,2.96488,0.28395,0.14322,0.30850401479762807,57.98123903815417,3368961.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,36,36,158716,H14,,,False,,C,31.62,2.29277,1.01273,0.0931,0.11027720328449803,81.76498178650762,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,37,37,157593,H3,,,False,,D,43.86,1.17057,0.6619,0.00779,0.21743514565544378,70.51571553239614,3368961.0,Difícil,2,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,38,38,17166,H24,,,False,,D,52.37,3.22461,0.66444,0.25447,0.2734975898675206,63.89315665861116,3368961.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,39,39,120714,H4,,,False,,C,55.02,2.622,0.59532,0.25859,0.3073516011514275,60.76514592515721,3368961.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,40,40,152784,H30,,,False,,C,61.17,2.93851,0.36901,0.18829,0.29921208493521995,59.14171447921069,3368961.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,41,41,150607,H16,,,False,,A,34.25,1.60463,1.535,0.21298,0.22475405454178127,73.40348645478423,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,42,42,97881,H22,,,False,,A,44.54,3.43242,0.90425,0.28122,0.28487485245504135,65.89413459042231,3368961.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,43,43,43532,H18,,,False,,B,34.34,4.75417,0.97598,0.1838,0.184106152184963,76.0141001079774,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,44,44,153550,H12,,,False,,B,40.17,1.56252,0.97856,0.22899,0.28232950666019174,67.58908206708753,3368961.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1460,AMARELA,45,45,66526,H25,,,False,,A,44.09,2.68424,0.7301,0.15132,0.18060196524643546,72.82937225898169,3368961.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,1,1,118169,H7,0.0,ING,False,,D,64.47,2.94472,0.59928,0.24615,0.2819016517962011,59.11189263324693,2016194.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,1,1,152688,H6,1.0,ESP,False,,B,54.43,1.12528,0.36546,0.2073,0.47048290394537307,50.36811124355075,1352767.0,Fácil,0,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,2,2,153836,H6,0.0,ING,False,,D,58.62,2.38626,0.67668,0.18733,0.2363883700003362,64.11775594997815,2016194.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,2,2,140709,H7,1.0,ESP,False,,D,32.85,2.7718,0.94236,0.20053,0.20984634666247048,74.86248746693943,1352767.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,3,3,153930,H6,0.0,ING,False,,A,71.8,2.28024,0.18554,0.19951,0.4617207795334859,44.85814933032342,2016194.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,3,3,153945,H8,1.0,ESP,False,,A,24.86,1.8208,1.32304,0.19745,0.21059439160112878,77.61036454592663,1352767.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,4,4,153875,H7,0.0,ING,False,,D,61.79,3.7284,0.3723,0.1705,0.242081340111296,62.638212892765765,2016194.0,Médio,1,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,4,4,154015,H8,1.0,ESP,False,,D,15.05,2.90355,1.66292,0.12537,0.125608186154945,86.56796789992858,1352767.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,5,5,112036,H5,0.0,ING,False,,E,51.62,4.90205,0.71195,0.17497,0.17715092294538043,70.41819000855027,2016194.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,5,5,153833,H5,1.0,ESP,False,,C,52.0,2.32932,0.44342,0.201,0.3186989659803626,61.08456721127643,1352767.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,6,6,157775,H22,,,False,,E,34.11,3.6719,1.0849,0.13842,0.13940553372015016,79.00014030819024,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,7,7,157779,H29,,,False,,D,31.66,1.74082,1.23944,0.11882,0.14075455645487112,79.76995383043338,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,8,8,157750,H1,,,False,,C,46.48,2.05162,0.89837,0.20823,0.24129006238745856,68.0481459448152,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,9,9,157781,H30,,,False,,C,31.48,3.44333,1.03742,0.13709,0.13907437325947672,79.94216573813402,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,10,10,157751,H4,,,False,,E,50.65,2.91253,0.48859,0.10089,0.17436846937096262,70.93854949088744,3368961.0,Difícil,2,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1461,VERDE,11,11,150674,H2,,,False,,B,56.81,2.05176,0.63313,0.21138,0.2894557036737377,61.30187926120705,3368961.0,Médio,1,A
