POSICAO,NO_ENTIDADE,NO_MUNICIPIO,DEP,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
100,ESCOLA ESTADUAL PROF JORGE LOPES RAPOSO,Belém,2.0,193,479.4,459.7,472.0,477.1,449.3,538.9,15567788
101,ESCOLA ESTADUAL DR MARIO CHERMONT,Belém,2.0,15,478.4,470.2,465.3,461.2,439.5,556.0,15039927
102,ESCOLA ESTADUAL RAYMUNDO MARTINS VIANNA,Belém,2.0,254,478.1,458.9,466.2,478.1,452.5,534.5,15212203
103,ESCOLA ESTADUAL MANOEL LEITE CARNEIRO,Belém,2.0,84,478.1,465.9,475.7,475.8,453.5,519.5,15165930
104,ANEXO EE RUI BARBOSA - ILHA DAS ONCAS,Belém,2.0,16,476.9,442.5,474.2,470.0,437.8,560.0,15181545
105,ESCOLA ESTADUAL DR JUSTO CHERMONT,Belém,2.0,109,476.9,461.2,475.6,491.7,449.7,506.2,15039676
106,ESCOLA ESTADUAL SALESIANA DO TRABALHO,Belém,2.0,113,475.6,458.5,453.6,483.2,459.9,522.8,15041387
107,ESCOLA ESTADUAL DAVID SALOMAO MUFARREJ,Belém,2.0,56,474.2,459.6,471.1,481.6,446.4,512.1,15523845
108,ESCOLA ESTADUAL TEODORA BENTES,Belém,2.0,106,474.2,469.2,456.9,471.3,450.9,522.6,15040569
109,ESCOLA ESTADUAL SANTA MARIA DE BELEM,Belém,2.0,146,474.1,454.0,464.7,475.5,457.7,518.6,15038505
110,ESCOLA ESTADUAL AVERTANO ROCHA,Belém,2.0,119,474.0,459.2,463.9,477.2,452.7,517.0,15042928
111,ESCOLA ESTADUAL MANOEL DE JESUS MORAES,Belém,2.0,12,473.3,465.9,457.0,495.6,456.1,491.7,15040437
112,CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROF LUIZ OCTAVIO PEREIRA,Belém,2.0,46,472.9,472.2,466.1,479.5,457.2,489.6,15037665
113,ESCOLA ESTADUAL HONORATO FILGUEIRAS,Belém,2.0,50,472.3,469.3,454.9,463.4,458.9,515.2,15043304
114,ESCOLA ESTADUAL RAINHA DA PAZ,Belém,2.0,37,470.9,448.2,443.0,465.2,445.5,552.4,15035557
